fold name	freq	top1	top5	top10	top15	top20
d.199	1	0.0	0.0	1.0	1.0	1.0
d.198	22	0.727272727273	0.863636363636	0.863636363636	0.863636363636	0.863636363636
e.18	6	0.333333333333	0.833333333333	0.833333333333	1.0	1.0
e.19	6	0.666666666667	0.833333333333	0.833333333333	0.833333333333	0.833333333333
d.5	21	1.0	1.0	1.0	1.0	1.0
d.4	9	0.444444444444	0.888888888889	1.0	1.0	1.0
d.7	2	0.0	0.0	0.0	0.0	0.0
d.6	15	0.866666666667	0.933333333333	0.933333333333	0.933333333333	1.0
d.1	13	0.230769230769	0.769230769231	0.846153846154	0.846153846154	0.923076923077
d.204	3	0.666666666667	1.0	1.0	1.0	1.0
b.68	32	0.375	0.84375	0.96875	0.96875	0.96875
b.69	40	0.325	0.7	0.85	0.925	0.95
b.66	7	0.0	0.285714285714	0.428571428571	0.428571428571	0.428571428571
b.67	14	0.0	0.642857142857	0.857142857143	0.928571428571	1.0
b.64	5	0.4	0.8	0.8	0.8	0.8
b.65	3	0.0	1.0	1.0	1.0	1.0
b.62	29	0.137931034483	0.413793103448	0.551724137931	0.689655172414	0.793103448276
b.63	3	0.666666666667	0.666666666667	1.0	1.0	1.0
b.60	72	0.416666666667	0.708333333333	0.791666666667	0.875	0.944444444444
b.61	21	0.380952380952	0.761904761905	0.857142857143	1.0	1.0
a.173	3	0.333333333333	0.333333333333	0.666666666667	1.0	1.0
e.35	1	1.0	1.0	1.0	1.0	1.0
b.84	40	0.125	0.275	0.325	0.5	0.575
b.85	38	0.342105263158	0.631578947368	0.894736842105	0.973684210526	0.973684210526
b.86	6	0.0	0.166666666667	0.333333333333	0.333333333333	0.333333333333
b.87	4	0.75	1.0	1.0	1.0	1.0
b.80	39	0.512820512821	0.846153846154	0.897435897436	0.923076923077	0.923076923077
b.81	23	0.608695652174	0.913043478261	0.913043478261	0.95652173913	1.0
b.82	116	0.405172413793	0.818965517241	0.887931034483	0.948275862069	0.956896551724
b.83	2	0.0	0.0	0.0	0.0	0.0
a.183	2	1.0	1.0	1.0	1.0	1.0
a.182	4	0.0	0.5	0.5	0.5	0.5
b.142	3	0.666666666667	1.0	1.0	1.0	1.0
a.180	1	0.0	0.0	0.0	0.0	0.0
b.88	8	0.375	0.375	0.625	0.625	0.75
b.89	2	1.0	1.0	1.0	1.0	1.0
a.185	1	0.0	1.0	1.0	1.0	1.0
a.170	2	1.0	1.0	1.0	1.0	1.0
c.112	1	1.0	1.0	1.0	1.0	1.0
c.113	2	0.5	0.5	0.5	1.0	1.0
c.110	3	0.0	0.0	0.0	0.0	0.333333333333
c.111	4	0.5	0.5	0.5	0.75	1.0
c.116	20	0.2	0.55	0.7	0.8	0.8
c.117	5	0.6	0.6	0.8	1.0	1.0
c.114	9	0.333333333333	0.444444444444	0.555555555556	0.777777777778	0.888888888889
c.115	1	0.0	0.0	0.0	0.0	1.0
c.118	1	0.0	0.0	1.0	1.0	1.0
c.119	4	0.0	0.25	0.5	0.75	0.75
f.19	5	0.6	1.0	1.0	1.0	1.0
c.57	12	0.583333333333	0.583333333333	0.833333333333	0.833333333333	0.833333333333
f.26	9	0.555555555556	1.0	1.0	1.0	1.0
f.27	3	0.333333333333	1.0	1.0	1.0	1.0
f.24	5	1.0	1.0	1.0	1.0	1.0
f.25	4	0.0	0.25	0.75	0.75	1.0
f.22	1	0.0	1.0	1.0	1.0	1.0
f.23	62	0.0322580645161	0.129032258065	0.209677419355	0.354838709677	0.41935483871
f.20	2	0.5	1.0	1.0	1.0	1.0
f.21	12	0.833333333333	1.0	1.0	1.0	1.0
d.356	1	0.0	0.0	0.0	0.0	0.0
d.395	1	0.0	0.0	0.0	0.0	0.0
f.28	3	0.0	0.0	0.0	0.0	0.0
f.29	2	1.0	1.0	1.0	1.0	1.0
c.47	179	0.463687150838	0.77094972067	0.865921787709	0.927374301676	0.95530726257
c.46	23	0.478260869565	0.739130434783	0.869565217391	0.913043478261	0.913043478261
c.45	28	0.392857142857	0.75	0.821428571429	0.928571428571	0.928571428571
c.44	11	0.363636363636	0.727272727273	0.818181818182	0.909090909091	0.909090909091
c.43	17	0.470588235294	0.764705882353	0.823529411765	0.823529411765	0.823529411765
c.42	11	0.454545454545	0.545454545455	0.636363636364	0.636363636364	0.818181818182
c.41	18	0.666666666667	0.944444444444	0.944444444444	1.0	1.0
c.40	1	0.0	1.0	1.0	1.0	1.0
a.176	1	0.0	1.0	1.0	1.0	1.0
c.49	10	0.5	0.7	0.8	1.0	1.0
c.48	12	0.333333333333	0.333333333333	0.583333333333	0.666666666667	0.75
b.113	6	0.0	0.5	0.666666666667	0.666666666667	0.666666666667
a.118	137	0.423357664234	0.788321167883	0.897810218978	0.963503649635	0.963503649635
d.258	5	0.4	0.6	0.6	0.6	0.6
a.114	1	0.0	0.0	0.0	0.0	0.0
c.58	23	0.478260869565	0.826086956522	0.95652173913	0.95652173913	0.95652173913
a.116	6	0.0	0.333333333333	0.666666666667	0.833333333333	1.0
d.259	1	0.0	0.0	1.0	1.0	1.0
a.110	2	0.5	1.0	1.0	1.0	1.0
a.111	5	0.2	0.4	0.6	0.6	0.6
b.133	1	0.0	1.0	1.0	1.0	1.0
a.113	2	0.0	0.0	0.0	0.0	0.0
d.257	1	0.0	0.0	1.0	1.0	1.0
g.61	3	0.333333333333	0.333333333333	0.333333333333	0.333333333333	0.333333333333
g.60	2	0.0	0.0	0.0	0.0	0.0
g.63	1	0.0	0.0	0.0	0.0	0.0
g.62	1	0.0	0.0	0.0	0.0	0.0
